第X台,#genre#
周星馳,http://auney.gearhostpreview.com/huya.php?id=11342412
公視3台HD,
MOMO追劇台HD,
BABY TV,http://185.180.221.194:8278/streams/d/Babytv/playlist.m3u8
CBeebies卡通台,http://198.16.106.62:8278/streams/d/Cbeebies/playlist.m3u8
Boomerang卡通台,
達文西頻道,
Discovery Asia,
BBC Earth自然知性,p2p://fccseuro.pvbox.live:18912/5b1408f200071c8bda8dd5a44dfda4bb.ts
國家地理國際頻道,
國家地理野生,p2p://fccsovh.pvbox.live:18912/5b1409170007d342d4c16db15d8876c8.ts

Discovery科學,p2p://fccsovh.pvbox.live:18912/5b14093f000e802bdf2de39b32af6f43.ts
tvN,p2p://fccseuro.pvbox.live:18912/5b14090b000aaf9d29b8f9f0baa85606.ts
DREAM WORKS夢工廠,
星衛娛樂台HD,
緯來精采ᴴᴰ,http://198.16.106.62:8278/streams/d/videolandspecial_zero/playlist.m3u8
韓國娛樂台KMTV,
Nick Jr,http://185.180.221.194:8278/streams/d/Nickjr/playlist.m3u8
Warner華納電影,
DISCOVERY EVE,http://198.16.106.62:8278/streams/d/eve_zero/playlist.m3u8
FX,p2p://fccsovh.pvbox.live:18912/5b1409da000ebd47ecf41861c902cf0f.ts
林正英,http://auney.gearhostpreview.com/huya.php?id=11342421
成龍,http://auney.gearhostpreview.com/huya.php?id=11342386
寰宇新聞台,
亞洲旅遊台,
BBC Lifestyle宏觀設計,http://198.16.106.62:8278/streams/d/bbclifestyle_zero/playlist.m3u8
Food亞洲美食,http://198.16.106.62:8278/streams/d/asiafood_zero/playlist.m3u8
HGTV居家樂活頻道,
MTV Live,http://198.16.106.62:8278/streams/d/mtvlive_zero/playlist.m3u8
TV5法式生活頻道HD,
古典音樂台,
三立國際,
DMAX,
李連杰,http://auney.gearhostpreview.com/huya.php?id=11342390
CatchPlay,mitv://fccseuro.pvbox.live:18912/5b1409db000126a9711886b8313f331d
amc最愛電影,
HBO HD,http://125.227.210.37:16027/VideoInput/play.ts
HBO強檔Hits,p2p://fccseuro.pvbox.live:18912/5b14096900084dd9f1fd0c339f1f8d52
HBO原創Signature,http://198.16.106.62:8278/streams/d/hbosignature_zero/playlist.m3u8
HBO溫馨家庭Family,
星衛HD電影台,p2p://fccsovh.pvbox.live:18912/5b140940000a727a11706edeb2e5c36b
FOXlife,
FOX家庭影院,http://198.16.106.62:8278/streams/d/foxfamily_zero/playlist.m3u8
Eurosp1,
Eurosp2,p2p://fccseuro.pvbox.live:18912/5bee549b0004e9ee19e204725b7a0321
博斯高球台HD,
博斯高球2台,
博斯無限II,rtmp://161.202.204.248:1935/sat/md021
博斯魅力,rtmp://161.202.204.248/sat/md011
博斯網球,
博斯運動 II,
博斯無限台,
大愛2台HD,
好消息2台,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8
彭博財經台,http://liveproduseast.akamaized.net/us/Channel-USTV-AWS-virginia-1/Source-USTV-1000-1_live.m3u8
吳京,http://auney.gearhostpreview.com/huya.php?id=11602045
甄子丹,http://auney.gearhostpreview.com/huya.php?id=11352935
周潤發,http://auney.gearhostpreview.com/huya.php?id=11342387
沈騰,http://auney.gearhostpreview.com/huya.php?id=11601968
洪金寶,http://auney.gearhostpreview.com/huya.php?id=11342427
徐崢,http://auney.gearhostpreview.com/huya.php?id=11602043
劉德華,http://auney.gearhostpreview.com/huya.php?id=11342424
金庸電影,http://auney.gearhostpreview.com/huya.php?id=11352897
許氏電影,http://auney.gearhostpreview.com/huya.php?id=11602033
新歌速遞,rtmp://tx.rtmp.huya.com:1935/huyalive/1099531740262-1099531740262-86382469611257856-2199063603980-10057-A-0-1



GOOD特會系列：禱告與轉化,http://live.streamingfast.net/osmflivech32.m3u8
GOOD特會系列：研經培靈,http://live.streamingfast.net/osmflivech33.m3u8
GOOD天國文化特會,http://live.streamingfast.net/osmflivech34.m3u8
GOOD天父的心,http://live.streamingfast.net/osmflivech35.m3u8
GOOD特會系列：醫治釋放,http://live.streamingfast.net/osmflivech36.m3u8
GOOD特會系列：以色列專題,http://live.streamingfast.net/osmflivech37.m3u8
GOOD特會系列：末世信息,http://live.streamingfast.net/osmflivech38.m3u8
GOOD全家歸主有良方,http://live.streamingfast.net/osmflivech39.m3u8
GOOD轉轉發現愛,http://live.streamingfast.net/osmflivech40.m3u8
GOOD幸福學堂,http://live.streamingfast.net/osmflivech41.m3u8
GOOD愛+醫生,http://live.streamingfast.net/osmflivech42.m3u8
GOOD愛+醫生,http://live.streamingfast.net/osmflivech9.m3u8
GOOD我們EYE旅行,http://live.streamingfast.net/osmflivech43.m3u8
GOOD我們EYE旅行,http://live.streamingfast.net/osmflivech11.m3u8
GOOD烤箱讀書會,http://live.streamingfast.net/osmflivech44.m3u8
GOOD烤箱讀書會,http://live.streamingfast.net/osmflivech10.m3u8
GOOD卡通,http://live.streamingfast.net/osmflivech45.m3u8
GOOD少年體驗隊,http://live.streamingfast.net/osmflivech46.m3u8
GOOD蒙福人生,http://live.streamingfast.net/osmflivech47.m3u8
GOOD小小遊學生,http://live.streamingfast.net/osmflivech48.m3u8
GOOD葉光明,http://live.streamingfast.net/osmflivech16.m3u8
GOOD福氣人生,http://live.streamingfast.net/osmflivech25.m3u8
GOOD好消息,http://live.streamingfast.net/osmflivech1.m3u8
GOOD共享觀點,http://live.streamingfast.net/osmflivech19.m3u8
GOOD共享觀點,http://live.streamingfast.net/osmflivech5.m3u8
GOOD詩歌精選,http://live.streamingfast.net/osmflivech28.m3u8
GOOD恩典時分,http://live.streamingfast.net/osmflivech20.m3u8
GOOD大衛鮑森,http://live.streamingfast.net/osmflivech17.m3u8
GOOD空中聖經學院,http://live.streamingfast.net/osmflivech27.m3u8
GOOD經典音樂河,http://live.streamingfast.net/osmflivech29.m3u8
GOOD敬拜讚美音樂,http://live.streamingfast.net/osmflivech30.m3u8
GOOD福音佈道音樂會,http://live.streamingfast.net/osmflivech31.m3u8
GOOD孫叔唱副歌,http://live.streamingfast.net/osmflivech12.m3u8
GOOD國際講員,http://live.streamingfast.net/osmflivech18.m3u8
GOOD職場新視野,http://live.streamingfast.net/osmflivech22.m3u8
GOOD真情部落格,http://live.streamingfast.net/osmflivech14.m3u8
GOOD真情部落格,http://live.streamingfast.net/osmflivech3.m3u8
GOOD經典音樂,http://live.streamingfast.net/osmflivech6.m3u8
GOOD劉三講古,http://live.streamingfast.net/osmflivech24.m3u8
GOOD空中主日學 查經,http://live.streamingfast.net/osmflivech26.m3u8
GOOD空中主日學 生活,http://live.streamingfast.net/osmflivech23.m3u8
GOOD真理台,http://live.streamingfast.net/osmflivech2.m3u8
GOOD真情之夜,http://live.streamingfast.net/osmflivech15.m3u8
GOOD禱告大軍,http://live.streamingfast.net/osmflivech7.m3u8
GOOD華語講員,http://live.streamingfast.net/osmflivech21.m3u8
GOOD健康新煮流,http://live.streamingfast.net/osmflivech13.m3u8

新唐人亞太台,https://live.ntdimg.com/aplive200/playlist.m3u8
新唐人美東台,https://live.ntdimg.com/live400/playlist.m3u8
新唐人美東台,https://live2.ntdimg.com/live330/playlist.m3u8
新唐人美西台,https://live.ntdimg.com/uwlive990/playlist.m3u8
新唐人美西台,https://live.ntdimg.com/uwlive520/playlist.m3u8
新唐人美西台,https://live.ntdimg.com/sflive220/playlist.m3u8
新唐人舊金山台,https://live.ntdimg.com/sflive990/playlist.m3u8
新唐人中國台,https://live2.ntdimg.com/cnlive/playlist.m3u8
新唐人加東台,https://live.ntdimg.com/mllive860/playlist.m3u8
新唐人加東台,https://live.ntdimg.com/mllive220/playlist.m3u8
新唐人加西台,https://live.ntdimg.com/cwlive220/playlist.m3u8

ELTA奧運1台,rtmp://59.124.75.153/sat/md051 

ELTA奧運3台,rtmp://59.124.75.153/sat/md011 






